Date,Argentina,Buenos Aires,La Pampa,Mendoza,Santa Fe,Córdoba
2003-02-02,136,,,,,
2003-02-09,145,,,,,
2003-02-16,141,,,,,
2003-02-23,135,,,,,
2003-03-02,134,,,,,
2003-03-09,136,,150,,,
2003-03-16,134,,148,,,
2003-03-23,153,,153,,,
2003-03-30,158,129,164,,,
2003-04-06,187,141,160,,,
2003-04-13,193,156,170,,,
2003-04-20,186,167,176,,,161
2003-04-27,209,174,202,,,178
2003-05-04,239,187,194,,,166
2003-05-11,241,199,205,,,186
2003-05-18,232,203,207,,,249
2003-05-25,251,217,227,,,317
2003-06-01,253,216,224,,,299
2003-06-08,261,231,240,,,286
2003-06-15,258,236,268,,,281
2003-06-22,278,241,275,,,287
2003-06-29,348,263,309,,,257
2003-07-06,325,284,307,,,242
2003-07-13,307,300,306,,,246
2003-07-20,239,276,269,,,240
2003-07-27,229,262,262,,,263
2003-08-03,235,248,248,,,260
2003-08-10,225,221,229,,,280
2003-08-17,201,194,216,,,260
2003-08-24,192,191,218,,,264
2003-08-31,224,191,215,,,249
2003-09-07,210,182,207,,,242
2003-09-14,204,175,203,,,225
2003-09-21,213,203,210,,,191
2003-09-28,217,200,207,,,184
2003-10-05,205,199,211,,,174
2003-10-12,174,193,193,,,175
2003-10-19,178,191,188,,,179
2003-10-26,178,185,164,,,171
2003-11-02,184,178,158,,,185
2003-11-09,166,183,151,,,197
2003-11-16,149,168,149,,,179
2003-11-23,133,160,151,,,164
2003-11-30,123,151,139,,,161
2003-12-07,121,145,134,,,153
2003-12-14,109,134,124,,,149
2003-12-21,103,128,115,,,143
2003-12-28,100,124,110,,,144
2004-01-04,98,118,106,,,144
2004-01-11,98,115,101,,,146
2004-01-18,98,111,96,,,143
2004-01-25,102,108,92,,,166
2004-02-01,102,105,88,,,160
2004-02-08,102,101,85,,,151
2004-02-15,102,103,82,,,171
2004-02-22,114,110,83,,,174
2004-02-29,121,111,89,,,178
2004-03-07,108,108,88,,,169
2004-03-14,107,110,87,,,153
2004-03-21,119,126,89,,,144
2004-03-28,123,119,97,,,146
2004-04-04,125,119,106,,,132
2004-04-11,134,131,111,,,128
2004-04-18,134,134,108,,,126
2004-04-25,226,163,145,,,134
2004-05-02,199,191,150,,,144
2004-05-09,198,225,158,,,174
2004-05-16,239,214,196,,,235
2004-05-23,240,234,231,,,292
2004-05-30,265,285,243,,,318
2004-06-06,283,308,240,,,363
2004-06-13,273,296,239,,,405
2004-06-20,273,281,246,,,393
2004-06-27,271,275,236,,,407
2004-07-04,254,266,220,,,348
2004-07-11,238,238,217,,,409
2004-07-18,204,220,195,,,409
2004-07-25,217,228,204,,,417
